park02, area02, buiilt02, ocu02, availa02, cons02
Location, Total Revenue, Costs, Profits, Expenses, Net Income
Azua,2227425,48563.31,32375,16188.31,0
Baní,10760000,419156,328448,90708,0
Barahona,2621625,498249,498249,0,0
Bayaguana,1346587,32356,16178,16178,0
Bonao,2582400,392327,312735.59,79591.41,0
Caribbean Ind. Park,3000000,860000,850000,10000,0
Cibernético,3500000,100000,30000,70000,0
Cotuí,370961,56564,43941,12623,16187
Chemtec,1257730,456206,426206,30000,0
Don Rafael,191285,83928,83928,0,0
El Seibo,1203154,48561,32374,16187,0
Esperanza,1500000,312487,312487,0,0
Excel Boca Chica,70000,36000,24760,11240,0
Global,731180,199067,174738,24329,0
Gurabo,1179211.64,470107.57,407646.7,62460.87,0
Hainamosa,2152000,414600,304989,109611,0
Hato Mayor,506272,68033,39581,28452,16187
Hato Nuevo,1353608,132166,132166,0,14001
Higuey,637788,78651,52691,25960,0
Itabo,4856703,1460091,1374165,85926,0
Jaibón,365463,75320,37660,37660,0
La Armería,1416919,275783,275783,0,0
La Romana I,2690000,1128599,895409,233190,0
La Romana II,8070000,473949,324289,149660,0
La Vega,1469998,1116683,1116683,0,0
Laguna Prieta,183232,16000,16000,0,0
Las Américas,8072933,1136891,1030903,105988,0
Los Alcarrizos,804337,563307.6,531735,31572.6,0
Los Mina,1353608,45892,22637,23255,0
Montecristi,352648,48522,48522,0,0
Moca,920583,493156,493156,0,0
Multimodal Caucedo,8661552.52,107600,107600,0,0
Navarrete,837386,200000,200000,0,0
Nigua,1946473,514668,397668,117000,0
Palmar Abajo,304078,121886,121886,0,0
Palmarejo,419135,134278,134278,0,0
Pedernales,145572,30401,30401,0,0
PISANO,6468000,758000,726000,32000,132268.72
Pontezuela,84700,21000,21000,0,0
Puerto Plata,2762520,431740.51,418358,13382.51,0
Salcedo,1363054,48563,48563,0,0
San Fco. De Macorís,1427817,180935,164935,16000,0
San Isidro,9267755,1123787,995606,128181,35545
San Pedro de Macorís,3584276,2439826,2284135,155691,0
"Santiago I,II",7453349,3639349,3577607.2,61741.8,13945
Santiago Jánico,1400000,140000,140000,0,43040
Santiago Licey,1129800,162000,133500,28500,0
Tamboril,910000,184879,165374,19505,0
Villa Altagracia,2150800,211515.6,200515.6,11000,44012.28
Villa Mella,6140882,367830.52,311061,56769.52,0
Zofinma (Mao),4304000,38000,38000,0,0
Zona Franca Industrial Luna,541571,32292,32292,0,0
Quisqueya,1692010,52125.31,52125.31,0,0
